"name","rank","year","industry","sector","headquarters_state","headquarters_city","market_value_mil","revenue_mil","profit_mil","asset_mil","employees","founder_is_ceo","female_ceo","newcomer_to_fortune_500","global_500"
"General Motors Corporation",1,1996,"Motor Vehicles & Parts",,"MI",,,168828.6,,,,,,,
"Ford Motor Company",2,1996,"Motor Vehicles & Parts",,"MI",,,137137,,,,,,,
"Exxon Corporation",3,1996,"Petroleum Refining",,"TX",,,110009,,,,,,,
"Wal-Mart Stores, Inc.",4,1996,"General Merchandisers",,"AR",,,93627,,,,,,,
"AT&T Corp.",5,1996,"Telecommunications",,"NY",,,79609,,,,,,,
"International Business Machines Corporation",6,1996,"Computers, Office Equipment",,"NY",,,71940,,,,,,,
"General Electric Company",7,1996,"Electronics, Electrical Equipment",,"CT",,,70028,,,,,,,
"Mobil Corporation",8,1996,"Petroleum Refining",,"VA",,,66724,,,,,,,
"Chrysler Corporation",9,1996,"Motor Vehicles & Parts",,"MI",,,53195,,,,,,,
"Philip Morris Companies",10,1996,"Tobacco",,"NY",,,53139,,,,,,,
"Prudential Insurance Company of America",11,1996,"Insurance: Life, Health (Mutual)",,"NJ",,,41330,,,,,,,
"State Farm Group",12,1996,"Insurance: Property and Casualty (Mutual)",,"IL",,,40809.9,,,,,,,
"E.I. Du Pont de Nemours and Company, Inc.",13,1996,"Chemicals",,"DE",,,37607,,,,,,,
"Texaco, Inc.",14,1996,"Petroleum Refining",,"NY",,,36787,,,,,,,
"Sears, Roebuck & Company",15,1996,"General Merchandisers",,"IL",,,35181,,,,,,,
"Kmart Corporation",16,1996,"General Merchandisers",,"MI",,,34654,,,,,,,
"The Procter & Gamble Company",17,1996,"Soaps, Cosmetics",,"OH",,,33434,,,,,,,
"Chevron Corporation",18,1996,"Petroleum Refining",,"CA",,,32094,,,,,,,
"Citicorp",19,1996,"Commercial Banks",,"NY",,,31690,,,,,,,
"Hewlett-Packard Company",20,1996,"Computers, Office Equipment",,"CA",,,31519,,,,,,,
"PepsiCo, Inc.",21,1996,"Food Services",,"NY",,,30421,,,,,,,
"Metropolitan Life Insurance Co.",22,1996,"Insurance: Life, Health (Mutual)",,"NY",,,27977,,,,,,,
"Amoco Corporation",23,1996,"Petroleum Refining",,"IL",,,27665,,,,,,,
"Motorola, Inc.",24,1996,"Electronics, Electrical Equipment",,"IL",,,27037,,,,,,,
"American International Group,Inc.",25,1996,"Insurance: Property and Casualty (Stock)",,"NY",,,25874,,,,,,,
"ConAgra, Inc.",26,1996,"Food",,"NE",,,24108.9,,,,,,,
"The Kroger Company",27,1996,"Food & Drug Stores",,"OH",,,23937.8,,,,,,,
"Dayton Hudson Corporation",28,1996,"General Merchandisers",,"MN",,,23516,,,,,,,
"Lockheed Martin Corporation",29,1996,"Aerospace & Defense",,"MD",,,22853,,,,,,,
"United Technologies Corporation",30,1996,"Aerospace & Defense",,"CT",,,22802,,,,,,,
"The Allstate Corporation",31,1996,"Insurance: Property and Casualty (Stock)",,"IL",,,22793,,,,,,,
"Federal National Mortgage Association",32,1996,"Diversified Financials",,"DC",,,22246,,,,,,,
